20231001 170000;1.056720;1.056720;1.056720;1.056720;0
20231001 170100;1.056730;1.056730;1.056730;1.056730;0
20231001 170200;1.056610;1.056920;1.056610;1.056920;0
20231001 170300;1.056890;1.056890;1.056840;1.056840;0
20231001 170400;1.056790;1.056790;1.056680;1.056680;0
20231001 170500;1.056730;1.057080;1.056720;1.056770;0
20231001 170600;1.056840;1.056840;1.056840;1.056840;0
20231001 170700;1.056830;1.056870;1.056760;1.056810;0
20231001 170800;1.056830;1.056830;1.056830;1.056830;0
20231001 170900;1.056820;1.056820;1.056810;1.056810;0
20231001 171000;1.056520;1.056820;1.056520;1.056820;0
20231001 171100;1.056820;1.056870;1.056770;1.056830;0
20231001 171200;1.057210;1.057210;1.056850;1.056940;0
20231001 171300;1.057020;1.057150;1.056810;1.056920;0
20231001 171400;1.056890;1.056890;1.056850;1.056850;0
20231001 171500;1.056900;1.057000;1.056680;1.056730;0
20231001 171600;1.056720;1.057070;1.056690;1.056820;0
20231001 171700;1.056880;1.056920;1.056830;1.056830;0
20231001 171800;1.056860;1.056860;1.056860;1.056860;0
20231001 171900;1.056740;1.056740;1.056700;1.056700;0
20231001 172000;1.056690;1.056690;1.056690;1.056690;0
20231001 172300;1.056690;1.056760;1.056690;1.056710;0
20231001 172400;1.056710;1.056750;1.056710;1.056710;0
20231001 172500;1.056700;1.056710;1.056680;1.056710;0
20231001 172600;1.056710;1.056710;1.056680;1.056680;0
20231001 172700;1.056710;1.056710;1.056710;1.056710;0
20231001 172800;1.056760;1.056760;1.056750;1.056750;0
20231001 172900;1.056740;1.056750;1.056740;1.056750;0
20231001 173000;1.056750;1.056750;1.056750;1.056750;0
20231001 173100;1.056750;1.056760;1.056750;1.056760;0
20231001 173200;1.056750;1.056750;1.056750;1.056750;0
20231001 173300;1.056730;1.056730;1.056710;1.056730;0
20231001 173400;1.056720;1.056720;1.056640;1.056640;0
20231001 173500;1.056640;1.056640;1.056600;1.056600;0
20231001 173600;1.056600;1.056620;1.056600;1.056600;0
20231001 173700;1.056610;1.056790;1.056550;1.056550;0
20231001 173800;1.056560;1.056810;1.056550;1.056550;0
20231001 173900;1.056550;1.056560;1.056550;1.056560;0
20231001 174000;1.056550;1.056580;1.056550;1.056550;0
20231001 174100;1.056550;1.056560;1.056550;1.056550;0
20231001 174200;1.056560;1.056730;1.056550;1.056550;0
20231001 174300;1.056540;1.056540;1.056450;1.056450;0
20231001 174400;1.056450;1.056450;1.056450;1.056450;0
20231001 174500;1.056450;1.056630;1.056450;1.056450;0
20231001 174600;1.056340;1.056530;1.056330;1.056520;0
20231001 174700;1.056520;1.056580;1.056520;1.056570;0
20231001 174900;1.056450;1.056500;1.056450;1.056460;0
20231001 175000;1.056460;1.056520;1.056450;1.056510;0
20231001 175100;1.056500;1.056520;1.056460;1.056520;0
20231001 175200;1.056510;1.056520;1.056510;1.056510;0
20231001 175300;1.056500;1.056800;1.056460;1.056710;0
20231001 175400;1.056700;1.056860;1.056670;1.056670;0
20231001 175500;1.056680;1.056840;1.056680;1.056780;0
20231001 175600;1.056770;1.056770;1.056730;1.056730;0
20231001 175700;1.056560;1.056560;1.056560;1.056560;0
20231001 175800;1.056540;1.056750;1.056480;1.056740;0
20231001 175900;1.056750;1.056790;1.056720;1.056730;0
20231001 180000;1.056760;1.056990;1.056760;1.056900;0
20231001 180100;1.056880;1.057130;1.056800;1.056840;0
20231001 180200;1.056860;1.056860;1.056440;1.056450;0
20231001 180300;1.056470;1.056470;1.056410;1.056430;0
20231001 180400;1.056420;1.056440;1.056210;1.056230;0
20231001 180500;1.056220;1.056290;1.056160;1.056180;0
20231001 180600;1.056200;1.056380;1.056160;1.056360;0
20231001 180700;1.056380;1.056430;1.056240;1.056270;0
20231001 180800;1.056260;1.056290;1.056160;1.056200;0
20231001 180900;1.056200;1.056360;1.056200;1.056350;0
20231001 181000;1.056360;1.056650;1.056360;1.056640;0
20231001 181100;1.056650;1.056780;1.056610;1.056780;0
20231001 181200;1.056790;1.056940;1.056790;1.056870;0
20231001 181300;1.056870;1.056870;1.056550;1.056690;0
20231001 181400;1.056690;1.056690;1.056500;1.056640;0
20231001 181500;1.056650;1.056800;1.056600;1.056790;0
20231001 181600;1.056810;1.056920;1.056760;1.056800;0
20231001 181700;1.056810;1.056810;1.056520;1.056560;0
20231001 181800;1.056560;1.056630;1.056550;1.056550;0
20231001 181900;1.056550;1.056600;1.056550;1.056560;0
20231001 182000;1.056570;1.056600;1.056550;1.056560;0
20231001 182100;1.056600;1.056600;1.056560;1.056590;0
20231001 182200;1.056560;1.056570;1.056490;1.056530;0
20231001 182300;1.056540;1.056570;1.056470;1.056470;0
20231001 182400;1.056480;1.056520;1.056480;1.056510;0
