20231101 013600;1.057340;1.057340;1.057140;1.057180;0
20231101 013700;1.057180;1.057310;1.057180;1.057220;0
20231101 013800;1.057210;1.057230;1.057190;1.057190;0
20231101 013900;1.057200;1.057290;1.057200;1.057220;0
20231101 014000;1.057210;1.057400;1.057210;1.057380;0
20231101 014100;1.057380;1.057400;1.057360;1.057400;0
20231101 014200;1.057370;1.057370;1.057300;1.057350;0
20231101 014300;1.057330;1.057410;1.057330;1.057380;0
20231101 014400;1.057380;1.057380;1.057310;1.057330;0
20231101 014500;1.057320;1.057390;1.057320;1.057320;0
20231101 014600;1.057330;1.057330;1.057290;1.057330;0
20231101 014700;1.057330;1.057340;1.057320;1.057340;0
20231101 014800;1.057370;1.057370;1.057260;1.057330;0
20231101 014900;1.057340;1.057380;1.057310;1.057310;0
20231101 015000;1.057310;1.057400;1.057310;1.057390;0
20231101 015100;1.057400;1.057500;1.057380;1.057500;0
20231101 015200;1.057530;1.057630;1.057520;1.057590;0
20231101 015300;1.057580;1.057580;1.057490;1.057500;0
20231101 015400;1.057500;1.057600;1.057500;1.057600;0
20231101 015500;1.057600;1.057620;1.057500;1.057510;0
20231101 015600;1.057500;1.057500;1.057390;1.057460;0
20231101 015700;1.057450;1.057510;1.057400;1.057510;0
20231101 015800;1.057500;1.057550;1.057450;1.057450;0
20231101 015900;1.057440;1.057450;1.057390;1.057390;0
20231101 020000;1.057390;1.057510;1.057270;1.057270;0
20231101 020100;1.057270;1.057610;1.057270;1.057610;0
20231101 020200;1.057620;1.057740;1.057600;1.057720;0
20231101 020300;1.057710;1.057740;1.057600;1.057600;0
20231101 020400;1.057600;1.057650;1.057540;1.057600;0
20231101 020500;1.057610;1.057660;1.057590;1.057620;0
20231101 020600;1.057620;1.057660;1.057580;1.057610;0
20231101 020700;1.057620;1.057630;1.057340;1.057350;0
20231101 020800;1.057420;1.057510;1.057370;1.057400;0
20231101 020900;1.057370;1.057370;1.057270;1.057310;0
20231101 021000;1.057300;1.057310;1.057270;1.057300;0
20231101 021100;1.057290;1.057370;1.057290;1.057350;0
20231101 021200;1.057360;1.057530;1.057350;1.057510;0
20231101 021300;1.057520;1.057660;1.057510;1.057530;0
20231101 021400;1.057540;1.057580;1.057510;1.057520;0
20231101 021500;1.057510;1.057530;1.057340;1.057400;0
20231101 021600;1.057400;1.057470;1.057370;1.057470;0
20231101 021700;1.057470;1.057520;1.057420;1.057510;0
20231101 021800;1.057540;1.057560;1.057300;1.057310;0
20231101 021900;1.057300;1.057300;1.057140;1.057210;0
20231101 022000;1.057200;1.057270;1.057140;1.057140;0
20231101 022100;1.057140;1.057140;1.056860;1.056890;0
20231101 022200;1.056900;1.056920;1.056820;1.056920;0
20231101 022300;1.056920;1.056970;1.056850;1.056900;0
20231101 022400;1.056960;1.057070;1.056960;1.057070;0
20231101 022500;1.057090;1.057190;1.057080;1.057110;0
20231101 022600;1.057120;1.057150;1.056970;1.056990;0
20231101 022700;1.057000;1.057010;1.056830;1.056850;0
20231101 022800;1.056830;1.056850;1.056790;1.056800;0
20231101 022900;1.056800;1.056820;1.056750;1.056810;0
20231101 023000;1.056810;1.056910;1.056800;1.056900;0
20231101 023100;1.056900;1.056940;1.056850;1.056940;0
20231101 023200;1.056930;1.056930;1.056750;1.056760;0
20231101 023300;1.056760;1.056870;1.056710;1.056870;0
20231101 023400;1.056870;1.057030;1.056860;1.057020;0
20231101 023500;1.057030;1.057030;1.056850;1.056860;0
20231101 023600;1.056870;1.056910;1.056780;1.056780;0
20231101 023700;1.056790;1.056860;1.056760;1.056850;0
20231101 023800;1.056850;1.056860;1.056570;1.056590;0
20231101 023900;1.056570;1.056570;1.056450;1.056460;0
20231101 024000;1.056450;1.056460;1.056370;1.056400;0
20231101 024100;1.056400;1.056400;1.056250;1.056290;0
20231101 024200;1.056280;1.056280;1.056160;1.056220;0
20231101 024300;1.056210;1.056210;1.056190;1.056200;0
20231101 024400;1.056200;1.056210;1.056130;1.056150;0
20231101 024500;1.056180;1.056240;1.056170;1.056240;0
20231101 024600;1.056250;1.056280;1.055950;1.055950;0
20231101 024700;1.055970;1.056050;1.055900;1.055950;0
20231101 024800;1.055960;1.056120;1.055930;1.056100;0
20231101 024900;1.056090;1.056140;1.056000;1.056020;0
20231101 025000;1.056020;1.056170;1.056010;1.056170;0
